Date,Open,High,Low,Close,Adj Close,Volume
12-11-2020,57.400002,57.400002,55.200001,55.599998,54.91576,19585504
13-11-2020,55,55.75,54.599998,55.25,54.570068,15417488
14-11-2020,56,56.200001,55.549999,55.950001,55.261456,2578865
17-11-2020,56.5,58.200001,55.900002,57.650002,56.940533,26801425
18-11-2020,57.849998,61.25,57.700001,60.599998,59.854229,54298315
19-11-2020,60.25,61.450001,58.75,59.150002,58.422073,28987133
20-11-2020,59.549999,59.900002,56.700001,58.099998,57.384995,23428511
23-11-2020,58.849998,59.75,57.799999,58.849998,58.125763,24196085
24-11-2020,59.349998,60.150002,58.349998,59.950001,59.212231,25057495
25-11-2020,60.450001,63.900002,60.200001,61.5,60.743153,75949155
26-11-2020,62.200001,62.700001,61.200001,62.349998,61.582691,30119954
27-11-2020,63,65.25,62.450001,64.900002,64.101311,56608140
01-12-2020,65.599998,69.449997,65,68.849998,68.002701,70704403
02-12-2020,69.5,69.650002,66.699997,67.949997,67.113777,46261091
03-12-2020,68.5,69.699997,67.599998,69.25,68.397781,37361699
04-12-2020,71.699997,73.599998,69.349998,71.650002,70.768242,97738908
07-12-2020,72.449997,73.349998,71.150002,71.650002,70.768242,39355314
08-12-2020,73,73.099998,70.25,72,71.113937,43645664
09-12-2020,72.599998,75,71.900002,73.150002,72.249786,58476323
10-12-2020,73,73.449997,71,72.650002,71.755936,29242808
11-12-2020,72.75,74.099998,72.150002,72.800003,71.904091,36847385
14-12-2020,73.449997,74.099998,72.800003,73.449997,72.546089,20767955
15-12-2020,73.400002,75.5,72.5,75.150002,74.225174,38943070
16-12-2020,75.5,76.449997,74.650002,76.150002,75.212868,36595158
17-12-2020,76.25,76.699997,74.650002,75.199997,74.274551,28073186
18-12-2020,75,76.449997,73.650002,76.050003,75.114098,49891456
21-12-2020,75.849998,75.849998,66.400002,69.050003,68.200241,51731072
22-12-2020,69,71.900002,66.699997,71.650002,70.768242,46224467
23-12-2020,72,74.449997,71.5,74.150002,73.23748,30689573
24-12-2020,74.599998,75.599998,74.25,74.5,73.583168,23223241
28-12-2020,75.25,77.949997,75.099998,77.199997,76.249939,35601036
29-12-2020,78,78.800003,76.25,76.550003,75.607941,28745694
30-12-2020,76.949997,76.949997,75.199997,75.800003,74.867172,17918812
31-12-2020,75.849998,76.5,75.400002,75.650002,74.719017,15495713
01-01-2021,76,77.75,75.800003,77.349998,76.398094,19041567
04-01-2021,78.050003,79.650002,77.5,79.25,78.274712,23712305
05-01-2021,78,82.199997,77.900002,81.150002,80.151337,46181972
06-01-2021,82,83.5,80.75,82.449997,81.435333,46157617
07-01-2021,83.150002,83.650002,81.5,81.849998,80.842712,35219703
08-01-2021,84.349998,84.599998,82.599998,83.050003,82.027954,41178215
11-01-2021,83.599998,83.949997,82.150002,83.300003,82.274872,25575169
12-01-2021,83,87.300003,82.650002,86.050003,84.991035,43670529
13-01-2021,86.900002,87.650002,83.75,85.849998,84.793488,37272052
14-01-2021,86.099998,87.150002,84.900002,85.949997,84.892258,20620191
15-01-2021,86.400002,88,84.349998,85.550003,84.497185,35416980
18-01-2021,85.849998,85.849998,81,82.099998,81.089638,31480725
19-01-2021,82.75,85.699997,82.599998,85.400002,84.34903,25469132
20-01-2021,85.599998,86.449997,84.150002,84.800003,83.756416,19476831
21-01-2021,85.5,85.699997,82.199997,83,81.978561,16889392
22-01-2021,82.900002,83.099998,77.949997,79.400002,78.422867,42934185
25-01-2021,84,84,78,79.25,78.274712,55671719
27-01-2021,79.650002,79.800003,75.650002,75.949997,75.01532,47062543
28-01-2021,75,77.900002,74.449997,77.099998,76.151169,40097316
29-01-2021,78.550003,78.599998,75,75.400002,74.472092,28386915
01-02-2021,76.400002,81.199997,74.5,79.900002,78.916718,45909331
02-02-2021,81.5,84.099998,79.650002,83.599998,82.571182,47955673
03-02-2021,84.150002,85.5,82.25,84.199997,83.163795,41816643
04-02-2021,84.949997,90.5,84.449997,89.599998,88.497337,94513383
05-02-2021,91.449997,91.650002,85,87.449997,86.373795,98504307
08-02-2021,88,91.650002,87.5,90,88.892418,70145365
09-02-2021,90.150002,90.449997,86.449997,87.150002,86.077492,37086127
10-02-2021,88.050003,89.949997,86.349998,88.099998,87.0158,57056934
11-02-2021,88.699997,89.150002,87.5,87.800003,86.719498,18482937
12-02-2021,88,88.5,86,87.300003,86.225647,18854969
15-02-2021,88,88.900002,86.349998,86.699997,85.633026,28371641
16-02-2021,87.400002,91,86.599998,90.25,89.139343,45833754
17-02-2021,90.900002,92.449997,89.800003,91.099998,89.978882,66947755
18-02-2021,91.75,94.050003,90.199997,93.099998,91.954269,48616071
19-02-2021,93.400002,94.849998,89.349998,91.099998,89.978882,69544392
22-02-2021,90.949997,92.5,89,90.099998,88.991188,38203233
23-02-2021,90.699997,93.400002,89.800003,92.050003,90.917191,43925417
24-02-2021,92.849998,94.5,92.050003,94.050003,92.892578,27561130
25-02-2021,94.900002,97.650002,94.349998,96,94.818581,70938332
26-02-2021,94.800003,96.400002,93,95.150002,93.979042,50696555
01-03-2021,96.599998,99.5,95.550003,97.900002,96.695198,62133610
02-03-2021,100,100.800003,98,100.349998,99.115044,67108317
03-03-2021,104.599998,105.5,102.5,105.25,103.954742,85272517
04-03-2021,103.800003,114,102.75,109.300003,107.95491,147425687
05-03-2021,110.699997,110.699997,104,107.349998,106.0289,75015270
08-03-2021,108.900002,111.849998,108.199997,109.050003,107.707985,57273663
09-03-2021,110,110.650002,104.699997,107,105.683212,51804429
10-03-2021,109.099998,109.25,105.800003,107.349998,106.0289,43852673
12-03-2021,108.400002,114.5,107,113.25,111.856293,162828658
15-03-2021,114,114.150002,108,111.550003,110.177216,101454870
16-03-2021,112,112.300003,109.099998,109.699997,108.349976,50275101
17-03-2021,109.199997,110.5,102.400002,103.300003,102.028748,64241698
18-03-2021,104.599998,106.599998,96,100.550003,99.312592,102669579
19-03-2021,100,104.75,96.300003,104.150002,102.868286,118996777
22-03-2021,104.900002,106.5,103.800003,104.75,103.460899,74913152
23-03-2021,104.949997,105.949997,104,104.550003,103.263367,41887531
24-03-2021,103,105.599998,100.849998,101.25,100.003975,49603176
25-03-2021,101.800003,102.199997,96.599998,98.650002,97.435966,78179436
26-03-2021,100.949997,104.349998,100,103.449997,102.176895,78988471
30-03-2021,105.349998,105.349998,102.800003,103.599998,102.32505,47450305
31-03-2021,103.650002,105.849998,102.849998,103.25,101.979362,35702981
01-04-2021,103.900002,105.5,103.550003,105.050003,103.75721,34637782
05-04-2021,105,105.5,100.449997,103.349998,102.078125,48340372
06-04-2021,103.800003,107.349998,102.449997,104.699997,103.411514,56713336
07-04-2021,104.349998,105.650002,103.5,104.449997,103.164589,36218955
08-04-2021,105,106.75,104.699997,104.949997,103.658432,36910799
09-04-2021,105.349998,106.199997,103,104.099998,102.818893,35350727
12-04-2021,101,101,89.900002,92.199997,91.065346,125893617
13-04-2021,92.300003,96.300003,91.550003,95.849998,94.670425,76861733
15-04-2021,94.699997,96.699997,93.300003,94.150002,92.991348,38846301
16-04-2021,95,97.949997,94.050003,97.150002,95.95443,49515934
19-04-2021,92.400002,94.949997,91.800003,93.800003,92.64566,43657515
20-04-2021,96,96,92.400002,93.599998,92.448112,35631799
22-04-2021,94,95,92.400002,94.25,93.090118,34186730
23-04-2021,94.199997,96.900002,93.550003,95.650002,94.472893,40943046
26-04-2021,95.699997,97.150002,95.5,96.300003,95.114891,24546834
27-04-2021,96.949997,98.449997,96.400002,98,96.793968,26892254
28-04-2021,98.599998,99.150002,97.650002,97.949997,96.744583,32345591
29-04-2021,98.900002,100.199997,97.449997,97.650002,96.448273,39809692
30-04-2021,96.949997,101.400002,96.25,98.849998,97.633507,40125740
03-05-2021,97.949997,100.400002,96.349998,99.849998,98.621201,37404501
04-05-2021,100.599998,103.400002,100,101.050003,99.806435,55562146
05-05-2021,102.400002,102.949997,100.25,102,100.744743,25421812
06-05-2021,102.550003,104.650002,101.599998,102.900002,101.633667,35150275
07-05-2021,103.849998,103.949997,102.25,102.699997,101.436127,28791094
10-05-2021,103.75,110.5,103.199997,109.949997,108.596901,70028129
11-05-2021,109,111.150002,107.099998,109.349998,108.004288,64737614
12-05-2021,110.349998,110.550003,105.150002,106.599998,105.288132,61946163
14-05-2021,106.349998,108,101,101.5,100.250893,66640242
17-05-2021,102.5,104.300003,101.650002,103.449997,102.176895,40412520
18-05-2021,105,107.349998,104.650002,105.349998,104.053513,40666745
19-05-2021,105.050003,107,103.900002,104.25,102.967049,31394002
20-05-2021,105.199997,105.449997,102.449997,102.949997,101.683044,19494462
21-05-2021,103.849998,106,103.300003,104.900002,103.609055,27004076
24-05-2021,105.599998,107.949997,104.5,107.300003,105.979523,41530007
25-05-2021,108.300003,109.349998,106.650002,107.449997,106.12767,35294915
26-05-2021,108,108.300003,105.800003,106.099998,104.794281,26772472
27-05-2021,106.099998,107,104.900002,106.349998,105.041206,21200089
28-05-2021,107.199997,107.5,105.099998,105.349998,104.053513,19973552
31-05-2021,105.300003,106.949997,103.800003,106.449997,105.139977,29739476
01-06-2021,106.400002,106.400002,103.699997,104.650002,103.362129,25038000
02-06-2021,104.5,108.400002,104.349998,108.099998,106.769669,31238619
